



연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위

1973,9.5,4.3,5.3,9.3,8.0,11.3,10.3,12.3,9.0,9.5,10.8,8.5,107.8,11
1974,3.0,7.5,9.3,12.0,9.0,6.8,18.3,12.8,6.5,9.8,3.8,9.3,107.8,10
1975,5.0,3.8,7.5,7.8,9.3,9.8,14.8,7.3,10.3,9.0,9.8,4.3,98.3,32
1976,7.3,10.5,4.8,6.5,7.8,7.8,12.5,20.5,8.5,8.0,8.3,7.8,110.0,9
1977,3.5,1.0,5.5,11.8,5.8,5.3,11.3,6.8,5.8,2.3,11.3,9.8,79.8,48
1978,6.8,5.0,5.0,8.0,2.5,11.3,16.3,13.5,7.3,5.0,3.8,7.0,91.3,43
1979,5.3,8.3,5.5,9.0,7.5,17.5,12.0,10.5,10.0,3.5,6.0,6.5,101.5,23
1980,9.5,6.0,4.5,9.0,6.0,11.8,17.3,15.0,4.3,6.0,5.5,8.8,103.5,20
1981,4.8,5.5,5.5,8.0,10.0,10.5,15.5,12.0,6.3,9.0,6.5,5.8,99.3,28
1982,6.3,2.3,7.3,2.5,10.3,4.5,10.0,14.0,2.0,4.0,11.8,12.5,87.3,45
1983,5.5,7.5,7.8,11.0,6.3,5.3,15.3,12.5,12.0,9.3,8.5,5.3,106.0,16
1984,5.8,6.3,8.5,8.3,5.8,10.5,14.3,12.5,8.8,7.0,7.5,11.0,106.0,15
1985,7.0,7.8,4.8,8.0,9.0,6.8,12.5,16.5,14.0,7.5,17.3,8.5,119.5,4
1986,4.0,4.0,5.0,5.0,9.0,10.8,19.5,14.8,5.5,8.8,8.0,9.0,103.3,21
1987,6.3,5.3,8.3,7.0,9.0,8.0,16.0,16.5,4.0,6.3,12.3,3.5,102.3,22
1988,8.3,2.5,5.8,6.3,7.8,8.0,18.8,9.5,5.3,2.5,5.0,5.8,85.3,47
1989,12.0,6.0,8.0,5.5,6.0,8.8,14.8,10.0,8.5,6.5,9.0,8.5,103.5,19
1990,11.3,8.0,9.0,8.3,13.8,16.3,21.0,11.3,9.3,0.3,6.3,7.5,122.0,2
1991,6.8,10.0,8.5,6.8,7.3,7.8,17.5,7.0,7.3,4.5,5.3,9.0,97.5,35
1992,7.0,9.5,5.3,10.0,9.8,7.8,12.5,12.8,9.0,9.3,7.8,10.8,111.3,7
1993,2.5,7.3,6.3,8.8,8.5,12.0,15.5,15.0,7.3,3.5,11.5,6.0,104.0,18
1994,6.0,3.5,5.3,2.3,11.3,6.8,9.5,11.8,8.5,11.5,8.0,8.3,92.5,42
1995,6.8,3.0,9.0,6.3,5.3,7.5,16.5,16.5,9.3,6.0,5.8,3.3,95.0,39
1996,6.8,2.8,9.8,5.5,7.0,13.8,15.3,9.5,4.8,4.3,12.5,3.8,95.5,37
1997,7.3,4.8,5.0,6.3,15.3,8.5,10.3,10.3,6.5,6.8,8.5,6.3,95.5,36
1998,9.8,8.3,4.0,10.5,7.5,10.5,16.5,18.0,9.0,4.8,8.3,3.0,110.0,8
1999,4.8,2.5,4.8,7.3,8.3,7.3,13.3,12.5,10.5,8.0,8.0,6.5,93.5,40
2000,11.0,4.3,4.3,9.0,8.8,8.8,9.5,17.3,10.5,6.8,5.5,10.3,105.8,17
2001,9.0,7.8,5.8,4.0,5.8,11.0,15.3,8.0,2.3,5.5,5.0,6.8,86.0,46
2002,8.8,3.0,6.5,6.8,9.3,7.3,12.0,19.8,7.0,10.3,4.0,6.0,100.5,25
2003,5.5,7.3,9.3,10.3,5.0,11.8,18.8,18.0,9.0,6.5,11.8,4.8,117.8,5
2004,5.3,6.0,5.3,7.0,13.8,8.0,18.0,7.3,12.3,2.0,8.5,5.0,98.3,31
2005,4.0,4.0,5.5,7.3,6.8,10.8,12.8,16.5,10.8,5.5,7.0,8.0,98.8,30
2006,4.3,6.0,4.5,9.3,7.0,10.8,23.3,8.3,5.3,2.8,9.3,7.0,97.5,34
2007,4.5,2.8,13.0,8.3,10.3,10.8,13.3,16.0,18.5,7.5,6.0,10.0,120.8,3
2008,3.3,3.3,8.8,10.5,8.8,11.0,17.5,13.8,7.5,5.8,5.5,11.0,106.5,14
2009,3.5,5.0,7.8,5.5,9.0,10.5,15.0,10.5,5.8,6.8,9.0,9.8,98.0,33
2010,8.0,9.3,11.3,11.5,10.8,10.8,14.0,21.0,14.0,4.3,7.3,8.0,130.0,1
2011,5.0,2.5,3.5,9.3,9.0,14.3,20.0,16.3,4.8,5.3,10.3,6.5,106.5,13
2012,5.5,2.3,7.8,8.3,5.5,3.5,16.5,16.5,11.5,6.3,13.0,10.0,106.5,12
2013,6.5,8.5,7.3,12.5,8.5,8.3,24.3,10.3,8.0,3.3,11.0,7.5,115.8,6
2014,4.5,3.5,4.8,5.5,8.5,7.5,11.5,13.8,6.0,5.0,9.3,11.0,90.8,44
2015,6.5,5.8,3.5,11.0,5.8,9.8,14.0,9.0,3.8,6.8,15.3,8.5,99.5,27
2016,3.5,8.3,3.5,10.3,8.8,7.0,15.3,6.5,6.0,9.3,11.5,9.0,98.8,29
2017,8.3,5.8,4.3,7.8,5.3,7.0,19.8,14.0,4.5,4.8,9.5,10.0,100.8,24
2018,7.3,5.0,9.3,10.0,11.3,9.8,8.3,11.5,9.8,8.0,5.5,4.5,100.0,26
2019,1.0,4.0,6.0,9.0,3.3,10.0,14.5,10.5,10.0,5.5,7.0,12.3,93.0,41
2020,5.3,9.8,4.8,2.8,13.8,11.3,16.5,19.8,9.5,2.0,0.0,0.0,95.3,38




